character,count
Zhou Jing,6
Wang Kuang,6
Sun Jing,6
Huan Jie,6
Wang Qi,6
Zhang Ying,6
Yang Dajiang,6
Han Song,6
Wang Zhi,6
Lady Liu,6
Cui Yan,6
Tian Chou,6
Yang Ling,6
Ge Ding,6
Yan Pu,6
Yang Huai,6
Lady Guo,6
Jin Xiang,6
Wang Su,6
Zong Yu,6
Bei Yan,6
Zhang Yue,6
Teng Yin,6
Yu Quan,6
Pei Xiu,6
Zhuge Shang,6
Prince Xian,5
Xue Lan,5
Lady Qiong,5
Zhu Zhi,5
Yan Yu,5
Xu Si,5
Quin Quington,5
Kong Xiu,5
Guan Ning,5
Liu Xun,5
Wang Xiu,5
Wang Can,5
Xiahou De,5
Zhang Zhu,5
Dong Chao,5
Han De,5
Liang Ji,5
Zhang Qi,5
Min Gong,4
Zu Mao,4
Yang Feng and Han Xian,4
Zhou Xin,4
Cao Amin,4
Wu Shi,4
Guan Ding,4
Lady Xun,4
Liu Fu,4
Gong Zhi,4
Gao Pei,4
Su Yong,4
Wan Zheng,4
Ma Jun,4
Jia Fan,4
Liu Fang,4
Wu Gang,4
Hu Lie,4
Tian Xu,4
Hua Jiao,4
Zhang Hua,4
Sun Xin,4
Zhuge Xing,4
Zhou Bi,3
Wei Hong,3
Geng Wu,3
Han Rong,3
Liu An,3
Meng Tan,3
Dong Heng,3
Chunyu Dan,3
Empress Wu,3
Xiahou He,3
Zhang Te,3
Shi Bao,3
He Zeng,3
Cen Hun,3
Xu Shao,2
Pan Yin,2
Wu Kuang,2
Wu Qiong,2
Ma Midi,2
Hu Chier,2
Zhiguan Hills,2
Wang Lian,2
Ce Xian,2
Li Gui,2
Zhao Yun and Zhang Fei,2
Xiahou Cun,2
Lu Chang,2
Dragon Ravine,2
Han Qi,2
Wei Ping,2
Zhao Zhi,2
Empress Guo,2
Xu Yun,2
Wucheng Mountain,2
Hu Fen,2
Quan Ji,2
Wei Miao,2
Xun Xu,2
Liu Shi,2
Zhang Zun,2
Huo Yi,2
Wan Yu,2
Ma Yuanyi,1
Xun Chang,1
Li Ying,1
Chen Wei,1
Lady Kai,1
Cui Yong,1
Chen Heng,1
Yan Xiang,1
Ma Rong,1
Wuhuan Chu,1
Gongsun Gong,1
Liu Biao's wife,1
Liu Mi,1
Sun Gao,1
Fu Xuan,1
Cheng Deshu,1
Zhang Su,1
Zheng Du,1
Bing Yuan,1
Zhao Rong,1
Zhang Tao,1
Cheli Ji,1
Liao Li,1
Chou Lian,1
Fu Gu,1
Jiang Yan,1
Ge Yong,1
Jiang Ban,1
Huan Yi,1
Shao Yuan,1
Qiu Ben,1
High Minister Qiao Zhou,1
Shang Guang,1
Wang Hun,1
"Guan Yu to his left, Zhang Fei to his right. Flourishing his whip, Liu Bei",0
Minister Zheng Tai,0
Hu Miao,0
Li Bie,0
Yan Baihu the White Tiger,0
"withdrew sadly, saying. “",0
Lady Qiao,0
"Cao Cao called him out and chided him, but the wife",0
bye Cai Mao,0
Scarcely had he said this than a fire started and cries of “,0
Lady Zhi,0
Imperial Protector asked Yang Huai,0
He He,0
High Minister Liu Ye,0
Cao Cao's scouts sent out from Yangping Pass,0
Wu Zhi,0
Commissariat Commander Zhao Lei,0
bewailed to Wang Fu,0
Li Fu and Minister Xu Zhi,0
Empress Cao,0
"Zhuge Liang, in the name of all those assembled, presented the Imperial Seal. The Prince",0
River Xicheng,0
Cheng Wu,0
"Xiahou Mao had brought against them. Then after three rolls of the drums, Minister Wang Lang",0
Han Zhen,0
"Zhuge Ke was absent in the palace, his wife",0
Guanqiu Dian,0
Zheng Mao,0
"Sun Chen rose to go out, but the Ruler of Wu",0
Ning Sui,0
"Sima You, was regarded as his son, to continue that line of the family. Sima Zhao",0
Xue Rong,0
