Id,Label,weight
Liu Bei,Liu Bei,490
Cao Cao,Cao Cao,471
Zhang Fei,Zhang Fei,321
Zhuge Liang,Zhuge Liang,264
Guan Yu,Guan Yu,121
Zhao Yun,Zhao Yun,105
Lü Bu,Lü Bu,78
The emperor,The emperor,71
Zhou Yu,Zhou Yu,68
Dong Zhuo,Dong Zhuo,55
Xiahou Dun,Xiahou Dun,42
the Prince of Ji,the Prince of Ji,38
Lu Su,Lu Su,31
Ma Chao,Ma Chao,31
Sun Quan,Sun Quan,30
Pang Tong,Pang Tong,29
Huang Zhong,Huang Zhong,28
Sima Zhongxiang,Sima Zhongxiang,25
Zhang Bao,Zhang Bao,21
the prefect,the prefect,21
Yuan Shao,Yuan Shao,19
Liu Zhang,Liu Zhang,19
Emperor Xian,Emperor Xian,18
"Lü Bu,","Lü Bu,",18
the Prince of Jing,the Prince of Jing,18
Lü Bu.,Lü Bu.,16
Zhang Liao,Zhang Liao,14
Zhang Biao,Zhang Biao,13
Sima Yi,Sima Yi,12
The grand marshal,The grand marshal,11
Wei Yan,Wei Yan,11
Dong Cheng,Dong Cheng,10
Chen Gong,Chen Gong,10
Huang Gai,Huang Gai,10
the young lady,the young lady,10
Zhang Song,Zhang Song,10
The eight men,The eight men,9
Wang Yun,Wang Yun,9
Xu Shu,Xu Shu,9
Zhang Jue,Zhang Jue,8
Liu Biao,Liu Biao,8
Ji Ping,Ji Ping,8
Liu Feng,Liu Feng,8
Downriver Wu,Downriver Wu,8
Zhang Lu,Zhang Lu,8
Yan Yan,Yan Yan,8
the Prince of Yan,the Prince of Yan,7
Zhang Yi,Zhang Yi,7
Imperial Father,Imperial Father,7
Ma Teng,Ma Teng,7
Kuai Yue,Kuai Yue,7
Lü Meng,Lü Meng,7
Jian Xianhe,Jian Xianhe,6
We have,We have,6
Ji Ling,Ji Ling,6
Wen Chou,Wen Chou,6
Liu Cong,Liu Cong,6
the prince,the prince,5
The Prince of Yan,The Prince of Yan,5
Ten Constant Attendants,Ten Constant Attendants,5
Cai Yang,Cai Yang,5
Cai Mao,Cai Mao,5
Jiang Gan,Jiang Gan,5
Emperor Ling,Emperor Ling,4
Huangfu Song,Huangfu Song,4
Sun Jian,Sun Jian,4
Yuan Shu,Yuan Shu,4
Cao Bao,Cao Bao,4
Hou Cheng,Hou Cheng,4
The master,The master,4
Zhang Zhao,Zhang Zhao,4
Jia Xu,Jia Xu,4
Qin Fu,Qin Fu,4
Ma Shouzhong,Ma Shouzhong,4
Yi Ji,Yi Ji,4
Liu Shan,Liu Shan,4
Duan Gui,Duan Gui,3
Li Su,Li Su,3
The soldier,The soldier,3
Che Zhou,Che Zhou,3
Wu Fan,Wu Fan,3
the troops of Wu,the troops of Wu,3
Mei Zhu,Mei Zhu,3
The young lady,The young lady,3
Jin Zu,Jin Zu,3
The schoolteacher,The schoolteacher,2
The envoy,The envoy,2
the farmer,the farmer,2
Wu Zilan,Wu Zilan,2
Zhang Ben,Zhang Ben,2
August Emperor,August Emperor,2
Liu Qi,Liu Qi,2
Little Qiao,Little Qiao,2
Zhao Fan,Zhao Fan,2
Ma Da,Ma Da,2
Yang Xiu,Yang Xiu,2
Yu Xu,Yu Xu,2
Meng Da,Meng Da,2
Guan Ping,Guan Ping,2
The Inspector General,The Inspector General,1
Li Ru,Li Ru,1
Yang Feng,Yang Feng,1
Xu You,Xu You,1
Gong Gu,Gong Gu,1
The acolyte,The acolyte,1
Consort Gan,Consort Gan,1
Zhuge Jin,Zhuge Jin,1
Zhang Sheng,Zhang Sheng,1
Hua Tuo,Hua Tuo,1
Chen Deng,Chen Deng,1
Wang Qiang,Wang Qiang,1
"Empress Lü,","Empress Lü,",0
the schoolteacher,the schoolteacher,0
Liu Deran,Liu Deran,0
The gatekeeper,The gatekeeper,0
the spies,the spies,0
The woman,The woman,0
Cui Lian,Cui Lian,0
The farmer,The farmer,0
Song Wenju,Song Wenju,0
Cheng Gong,Cheng Gong,0
One of those men,One of those men,0
Ji Xin,Ji Xin,0
A messenger,A messenger,0
Ladyship Gan,Ladyship Gan,0
The King of Ji,The King of Ji,0
Sima Qian,Sima Qian,0
Xiaohou Dun,Xiaohou Dun,0
The mountain grade,The mountain grade,0
phrase to,phrase to,0
the merchants,the merchants,0
The girl,The girl,0
He ordered Gan Ning,He ordered Gan Ning,0
Wang Ping,Wang Ping,0
Zhao Shidao,Zhao Shidao,0
the Grandee,the Grandee,0
Sun Liang,Sun Liang,0
Meng Huo,Meng Huo,0
