character,count
Liu Bei,490
Cao Cao,471
Zhang Fei,321
Zhuge Liang,264
Guan Yu,121
Zhao Yun,105
Lü Bu,78
The emperor,71
Zhou Yu,68
Dong Zhuo,55
Xiahou Dun,42
the Prince of Ji,38
Lu Su,31
Ma Chao,31
Sun Quan,30
Pang Tong,29
Huang Zhong,28
Sima Zhongxiang,25
Zhang Bao,21
the prefect,21
Yuan Shao,19
Liu Zhang,19
Emperor Xian,18
"Lü Bu,",18
the Prince of Jing,18
Lü Bu.,16
Zhang Liao,14
Zhang Biao,13
Sima Yi,12
The grand marshal,11
Wei Yan,11
Dong Cheng,10
Chen Gong,10
Huang Gai,10
the young lady,10
Zhang Song,10
The eight men,9
Wang Yun,9
Xu Shu,9
Zhang Jue,8
Liu Biao,8
Ji Ping,8
Liu Feng,8
Downriver Wu,8
Zhang Lu,8
Yan Yan,8
the Prince of Yan,7
Zhang Yi,7
Imperial Father,7
Ma Teng,7
Kuai Yue,7
Lü Meng,7
Jian Xianhe,6
We have,6
Ji Ling,6
Wen Chou,6
Liu Cong,6
the prince,5
The Prince of Yan,5
Ten Constant Attendants,5
Cai Yang,5
Cai Mao,5
Jiang Gan,5
Emperor Ling,4
Huangfu Song,4
Sun Jian,4
Yuan Shu,4
Cao Bao,4
Hou Cheng,4
The master,4
Zhang Zhao,4
Jia Xu,4
Qin Fu,4
Ma Shouzhong,4
Yi Ji,4
Liu Shan,4
Duan Gui,3
Li Su,3
The soldier,3
Che Zhou,3
Wu Fan,3
the troops of Wu,3
Mei Zhu,3
The young lady,3
Jin Zu,3
The schoolteacher,2
The envoy,2
the farmer,2
Wu Zilan,2
Zhang Ben,2
August Emperor,2
Liu Qi,2
Little Qiao,2
Zhao Fan,2
Ma Da,2
Yang Xiu,2
Yu Xu,2
Meng Da,2
Guan Ping,2
The Inspector General,1
Li Ru,1
Yang Feng,1
Xu You,1
Gong Gu,1
The acolyte,1
Consort Gan,1
Zhuge Jin,1
Zhang Sheng,1
Hua Tuo,1
Chen Deng,1
Wang Qiang,1
"Empress Lü,",0
the schoolteacher,0
Liu Deran,0
The gatekeeper,0
the spies,0
The woman,0
Cui Lian,0
The farmer,0
Song Wenju,0
Cheng Gong,0
One of those men,0
Ji Xin,0
A messenger,0
Ladyship Gan,0
The King of Ji,0
Sima Qian,0
Xiaohou Dun,0
The mountain grade,0
phrase to,0
the merchants,0
The girl,0
He ordered Gan Ning,0
Wang Ping,0
Zhao Shidao,0
the Grandee,0
Sun Liang,0
Meng Huo,0
