character,count
Dong Zhuo,204
Lu Bu,144
Yuan Shao,106
Cao Cao,105
Sun Jian,84
Liu Bei,83
Wang Yun,80
Gongsun Zan,49
Li Ru,48
He Jin,42
Zhang Fei,41
Li Su,34
Guan Yu,29
Prime Minister,29
Liu Biao,24
Diao Chan,23
Imperial Protector,20
Yuan Shu,20
Zhu Jun,19
Zhang Jue,18
Ding Yuan,17
Chen Gong,17
Lu Zhi,15
Empress He,15
Li Jue,14
Huang Zu,14
Zhang Rang,12
Cheng Pu,12
Empress Dong,11
Guo Si,11
Huang Gai,11
Zhang Bao,10
Huangfu Song,10
Han Fu,9
Cai Mao,9
Cai Yong,8
Liu Tao,8
Wen Chou,8
Kuai Liang,8
Sun Ce,8
Jian Shuo,7
Liu Xian,7
Zhang Ji,7
Fan Chou,7
Bao Xin,7
Lu Boshe,7
Zhao Yun,7
Zhou Jing,6
Cao Hong,6
Wang Kuang,6
Xiahou Dun,5
Han Dang,5
Prince Xian,4
Min Gong,4
Zu Mao,4
Kuai Yue,4
Huan Jie,4
Zhou Bi,3
Wei Hong,3
Xiahou Yuan,3
Geng Wu,3
Xu Shao,2
His Majesty,2
Pan Yin,2
Wu Kuang,2
Yang Biao,2
Wu Qiong,2
Cao Ren,2
Kong Rong,2
Tian Feng,2
Ma Midi,2
Hu Chier,2
Emperor Xian,1
Ma Yuanyi,1
Cheng Yu,1
Yue Jin,1
Li Dian,1
Liu Dai,1
Tao Qian,1
Peng Ji,1
Xun Chang,1
Sun Jing,1
Zhang Hu,1
Zhang Wen,1
Jia Xu,1
"Guan Yu to his left, Zhang Fei to his right. Flourishing his whip, Liu Bei",0
Sun Zi,0
Noble Sir,0
Empress Dowager,0
Xun You,0
Lady Wu,0
Minister Zheng Tai,0
Ma Teng,0
South Land,0
Xin Ping,0
Xin Pi,0
Ju Shou,0
Xu You,0
Sun Shao,0
Sun Quan,0
she. “,0
Zhuge Liang,0
Li Meng,0
Wang Fang,0
Wang Qi,0
