character,count
Liu Bei,501
Cao Cao,478
Zhuge Liang,393
Zhang Fei,321
Guan Yu,123
Zhao Yun,111
The emperor,92
Lü Bu,78
Zhou Yu,68
Sima Yi,66
Dong Zhuo,55
Xiahou Dun,47
the Prince of Ji,40
Sun Quan,31
Lu Su,31
Ma Chao,31
Pang Tong,29
Huang Zhong,28
the prefect,26
Sima Zhongxiang,25
Zhang Bao,22
Liu Zhang,20
Wei Yan,20
Emperor Xian,19
Yuan Shao,19
"Lü Bu,",18
the Prince of Jing,18
Jiang Wei,18
Lü Bu.,16
Liu Shan,16
The grand marshal,14
Zhang Liao,14
Zhang Biao,13
Dong Cheng,10
Chen Gong,10
Huang Gai,10
the young lady,10
Zhang Song,10
The eight men,9
Wang Yun,9
Xu Shu,9
Liu Feng,9
Downriver Wu,9
Zhang Jue,8
Zhang Yi,8
Liu Biao,8
Ji Ping,8
Zhang Lu,8
Yan Yan,8
Yi Ji,8
the Prince of Yan,7
We have,7
Imperial Father,7
Ma Teng,7
Kuai Yue,7
Liu Cong,7
Lü Meng,7
Meng Huo,7
Jian Xianhe,6
Ten Constant Attendants,6
Ji Ling,6
Wen Chou,6
Emperor Ling,5
the prince,5
The Prince of Yan,5
Cai Yang,5
Cai Mao,5
Jiang Gan,5
Meng Da,5
Guan Ping,5
The king,5
Yang Yi,5
Huangfu Song,4
Sun Jian,4
Yuan Shu,4
Cao Bao,4
Hou Cheng,4
The master,4
Zhang Zhao,4
Jia Xu,4
Qin Fu,4
Ma Shouzhong,4
Lü Kai,4
Zhang He,4
Duan Gui,3
Li Su,3
The soldier,3
Che Zhou,3
August Emperor,3
Wu Fan,3
the troops of Wu,3
Mei Zhu,3
The young lady,3
Jin Zu,3
Liu Yuan,3
The schoolteacher,2
The envoy,2
the farmer,2
Wu Zilan,2
Zhang Ben,2
Liu Qi,2
Little Qiao,2
Zhao Fan,2
Ma Da,2
Yang Xiu,2
Zhang Sheng,2
Yu Xu,2
Xiong Kai,2
Zhou Cang,2
The woman,1
The Inspector General,1
Li Ru,1
Yang Feng,1
A messenger,1
Xu You,1
Gong Gu,1
The acolyte,1
Consort Gan,1
Zhuge Jin,1
Wang Ping,1
Hua Tuo,1
Sun Liang,1
Chen Deng,1
Wang Qiang,1
Huang Hao,1
Emperor Wu,1
"Empress Lü,",0
the schoolteacher,0
Liu Deran,0
The gatekeeper,0
the spies,0
Cui Lian,0
The farmer,0
Song Wenju,0
Cheng Gong,0
One of those men,0
Ji Xin,0
Ladyship Gan,0
The King of Ji,0
Sima Qian,0
Xiaohou Dun,0
The mountain grade,0
phrase to,0
the merchants,0
The girl,0
He ordered Gan Ning,0
Zhao Shidao,0
the Grandee,0
Wang Zhan,0
Sun Hao,0
Emperor Hui of the Jin,0
