character,count
Liu Bei,150
Zhang Fei,146
Cao Cao,77
Lü Bu,72
Dong Zhuo,49
Guan Yu,31
The emperor,30
Sima Zhongxiang,25
Zhuge Liang,21
Zhang Bao,19
Zhao Yun,17
"Lü Bu,",17
Lü Bu.,15
Zhang Biao,13
the prefect,12
Chen Gong,10
The eight men,9
Wang Yun,9
Zhang Jue,8
the Prince of Yan,7
the Prince of Ji,7
Sima Yi,6
Emperor Xian,6
The grand marshal,6
Ji Ling,6
Xiahou Dun,6
The Prince of Yan,5
Yuan Shao,5
Huangfu Song,4
Jian Xianhe,4
Ten Constant Attendants,4
Dong Cheng,4
Sun Jian,4
Yuan Shu,4
Hou Cheng,4
the prince,3
Duan Gui,3
Li Su,3
Cao Bao,3
Emperor Ling,2
The schoolteacher,2
We have,2
Imperial Father,2
The Inspector General,1
Li Ru,1
the farmer,1
Yang Feng,1
Zhang Ben,1
Zhang Liao,1
"Empress Lü,",0
Sun Quan,0
the schoolteacher,0
Liu Deran,0
The gatekeeper,0
Zhang Yi,0
the spies,0
The woman,0
Cui Lian,0
The envoy,0
The farmer,0
The soldier,0
Song Wenju,0
Liu Biao,0
Wu Zilan,0
Cheng Gong,0
Ma Teng,0
One of those men,0
