Id,Label,weight
Han Hao,Han Hao,11
Geng Ji,Geng Ji,11
Wei Huang,Wei Huang,11
Wang Fu,Wang Fu,11
Huangfu Song,Huangfu Song,10
Li Yue,Li Yue,10
Han Yin,Han Yin,10
Cai He,Cai He,10
Chen Ying,Chen Ying,10
Huang Kui,Huang Kui,10
Li Hui,Li Hui,10
Xin Ping,Xin Ping,9
Li Yi,Li Yi,9
Huangfu Li,Huangfu Li,9
Dong Zhao,Dong Zhao,9
Yan Baihu,Yan Baihu,9
Hu Ban,Hu Ban,9
Ma Yan,Ma Yan,9
Zhuge Jun,Zhuge Jun,9
Han Xuan,Han Xuan,9
Niu Jin,Niu Jin,9
Xing Darong,Xing Darong,9
Zhong Yao,Zhong Yao,9
Zhang Wei,Zhang Wei,9
Wang Ping,Wang Ping,9
Ruler of Wei,Ruler of Wei,9
Latter Ruler,Latter Ruler,9
Noble Sir,Noble Sir,8
Liu Tao,Liu Tao,8
Bao Xin,Bao Xin,8
Li Meng,Li Meng,8
Wang Fang,Wang Fang,8
Gongsun Kang,Gongsun Kang,8
Lady Xu,Lady Xu,8
Jiang Xu,Jiang Xu,8
Xu Jing,Xu Jing,8
Yan Ren,Yan Ren,8
Yang Ang,Yang Ang,8
Fei Shi,Fei Shi,8
Zhao Lei,Zhao Lei,8
Fu Tong,Fu Tong,8
Jian Shuo,Jian Shuo,7
Sun Zi,Sun Zi,7
Lu Boshe,Lu Boshe,7
Li Feng,Li Feng,7
Yang Hu,Yang Hu,7
Wang Wei,Wang Wei,7
Wei Kang,Wei Kang,7
Dong He,Dong He,7
Cheng Ji,Cheng Ji,7
Zhou Jing,Zhou Jing,6
Wang Kuang,Wang Kuang,6
Huan Jie,Huan Jie,6
Zhang Ying,Zhang Ying,6
Yang Dajiang,Yang Dajiang,6
Han Song,Han Song,6
Wang Zhi,Wang Zhi,6
Cui Yan,Cui Yan,6
Tian Chou,Tian Chou,6
Guan Zhong,Guan Zhong,6
Cui Zhouping,Cui Zhouping,6
Ge Ding,Ge Ding,6
Yan Pu,Yan Pu,6
Yang Huai,Yang Huai,6
Deng Xian,Deng Xian,6
Li Yan,Li Yan,6
Cao Zhen,Cao Zhen,6
Prince Xian,Prince Xian,5
Sun Jing,Sun Jing,5
she. “,she. “,5
Xue Lan,Xue Lan,5
Lady Qiong,Lady Qiong,5
Zhu Zhi,Zhu Zhi,5
Xu Si,Xu Si,5
Quin Quington,Quin Quington,5
Kong Xiu,Kong Xiu,5
Guan Ning,Guan Ning,5
Liu Xun,Liu Xun,5
Lady Liu,Lady Liu,5
Wang Xiu,Wang Xiu,5
Wang Can,Wang Can,5
Chen Qun,Chen Qun,5
Qin Mi,Qin Mi,5
Xiahou De,Xiahou De,5
Zhang Zhu,Zhang Zhu,5
Zhang Da,Zhang Da,5
Min Gong,Min Gong,4
Zu Mao,Zu Mao,4
Yang Feng and Han Xian,Yang Feng and Han Xian,4
Zhou Xin,Zhou Xin,4
Cao Amin,Cao Amin,4
Wu Shi,Wu Shi,4
Guan Ding,Guan Ding,4
Li Fu,Li Fu,4
Lady Xun,Lady Xun,4
Zhu Huan,Zhu Huan,4
Gong Zhi,Gong Zhi,4
Gao Pei,Gao Pei,4
Xu Zhi,Xu Zhi,4
Fan Jian,Fan Jian,4
Empress Dowager,Empress Dowager,3
Zhou Bi,Zhou Bi,3
Wei Hong,Wei Hong,3
Geng Wu,Geng Wu,3
Zhang Wen,Zhang Wen,3
Han Rong,Han Rong,3
Yan Yu,Yan Yu,3
Liu An,Liu An,3
Du Yu,Du Yu,3
Meng Tan,Meng Tan,3
Ma Su,Ma Su,3
Chen Shi,Chen Shi,3
Shen Dan,Shen Dan,3
Dong Heng,Dong Heng,3
Dong Chao,Dong Chao,3
Chunyu Dan,Chunyu Dan,3
Deng Zhi,Deng Zhi,3
Xu Shao,Xu Shao,2
Pan Yin,Pan Yin,2
Wu Kuang,Wu Kuang,2
Wu Qiong,Wu Qiong,2
Ma Midi,Ma Midi,2
Sun Shao,Sun Shao,2
Hu Chier,Hu Chier,2
Zhiguan Hills,Zhiguan Hills,2
Ce Xian,Ce Xian,2
Li Gui,Li Gui,2
Liu Fu,Liu Fu,2
Zhao Yun and Zhang Fei,Zhao Yun and Zhang Fei,2
Qiao Zhou,Qiao Zhou,2
Guo Huai,Guo Huai,2
Xiahou Cun,Xiahou Cun,2
Lu Chang,Lu Chang,2
Jia Kui,Jia Kui,2
Ma Yuanyi,Ma Yuanyi,1
Xun Chang,Xun Chang,1
Zhang Hu,Zhang Hu,1
Li Ying,Li Ying,1
Chen Wei,Chen Wei,1
Lady Kai,Lady Kai,1
Cui Yong,Cui Yong,1
Lu Kang,Lu Kang,1
Chen Heng,Chen Heng,1
Yan Xiang,Yan Xiang,1
Ma Rong,Ma Rong,1
Wuhuan Chu,Wuhuan Chu,1
Liu Biao's wife,Liu Biao's wife,1
Liu Mi,Liu Mi,1
Sun Gao,Sun Gao,1
Fu Xuan,Fu Xuan,1
Cheng Deshu,Cheng Deshu,1
Zhang Su,Zhang Su,1
Jiang Wan,Jiang Wan,1
Zheng Du,Zheng Du,1
Bing Yuan,Bing Yuan,1
Zhao Rong,Zhao Rong,1
Meng Huo,Meng Huo,1
Dong Yun,Dong Yun,1
"Guan Yu to his left, Zhang Fei to his right. Flourishing his whip, Liu Bei","Guan Yu to his left, Zhang Fei to his right. Flourishing his whip, Liu Bei",0
Minister Zheng Tai,Minister Zheng Tai,0
Wang Qi,Wang Qi,0
Hu Miao,Hu Miao,0
Li Bie,Li Bie,0
Yan Baihu the White Tiger,Yan Baihu the White Tiger,0
Wang Lian,Wang Lian,0
"withdrew sadly, saying. “","withdrew sadly, saying. “",0
Lady Qiao,Lady Qiao,0
"Cao Cao called him out and chided him, but the wife","Cao Cao called him out and chided him, but the wife",0
Gongsun Gong,Gongsun Gong,0
bye Cai Mao,bye Cai Mao,0
Zhuge Xu,Zhuge Xu,0
Yang Ling,Yang Ling,0
Scarcely had he said this than a fire started and cries of “,Scarcely had he said this than a fire started and cries of “,0
Lady Zhi,Lady Zhi,0
Imperial Protector asked Yang Huai,Imperial Protector asked Yang Huai,0
He He,He He,0
Wang Ji,Wang Ji,0
High Minister Liu Ye,High Minister Liu Ye,0
Cao Cao's scouts sent out from Yangping Pass,Cao Cao's scouts sent out from Yangping Pass,0
Wu Zhi,Wu Zhi,0
Jiang Ji,Jiang Ji,0
Commissariat Commander Zhao Lei,Commissariat Commander Zhao Lei,0
bewailed to Wang Fu,bewailed to Wang Fu,0
Sima Fu,Sima Fu,0
Li Fu and Minister Xu Zhi,Li Fu and Minister Xu Zhi,0
Empress Cao,Empress Cao,0
"Zhuge Liang, in the name of all those assembled, presented the Imperial Seal. The Prince","Zhuge Liang, in the name of all those assembled, presented the Imperial Seal. The Prince",0
Wang Shuang,Wang Shuang,0
