Id,Label,weight
Liu Bei,Liu Bei,656
Cao Cao,Cao Cao,471
Zhang Fei,Zhang Fei,321
Zhuge Liang,Zhuge Liang,264
Ma Chao,Ma Chao,193
Xu Shu,Xu Shu,135
Guan Yu,Guan Yu,121
Zhao Yun,Zhao Yun,105
Lü Bu,Lü Bu,78
The emperor,The emperor,71
Zhou Yu,Zhou Yu,68
Dong Zhuo,Dong Zhuo,55
Xiahou Dun,Xiahou Dun,42
Lu Su,Lu Su,31
Sun Quan,Sun Quan,30
Pang Tong,Pang Tong,29
Huang Zhong,Huang Zhong,28
the Prince of Ji,the Prince of Ji,27
Sima Zhongxiang,Sima Zhongxiang,25
Zhang Bao,Zhang Bao,21
the prefect,the prefect,21
Yuan Shao,Yuan Shao,19
Liu Zhang,Liu Zhang,19
Emperor Xian,Emperor Xian,18
Lü Bu,Lü Bu,18
the Prince of Jing,the Prince of Jing,18
Lü Bu,Lü Bu,16
Zhang Liao,Zhang Liao,14
Zhang Biao,Zhang Biao,13
Sima Yi,Sima Yi,12
The grand marshal,The grand marshal,11
Wei Yan,Wei Yan,11
Dong Cheng,Dong Cheng,10
The Prince of Ji,The Prince of Ji,10
Chen Gong,Chen Gong,10
Huang Gai,Huang Gai,10
the young lady,the young lady,10
Zhang Song,Zhang Song,10
The eight men,The eight men,9
Wang Yun,Wang Yun,9
Zhang Jue,Zhang Jue,8
Liu Biao,Liu Biao,8
Ji Ping,Ji Ping,8
Liu Feng,Liu Feng,8
Downriver Wu,Downriver Wu,8
Zhang Lu,Zhang Lu,8
Yan Yan,Yan Yan,8
the Prince of Yan,the Prince of Yan,7
Zhang Yi,Zhang Yi,7
Imperial Father,Imperial Father,7
Ma Teng,Ma Teng,7
Kuai Yue,Kuai Yue,7
Lü Meng,Lü Meng,7
Jian Xianhe,Jian Xianhe,6
Ji Ling,Ji Ling,6
Wen Chou,Wen Chou,6
Liu Cong,Liu Cong,6
the prince,the prince,5
The Prince of Yan,The Prince of Yan,5
Ten Constant Attendants,Ten Constant Attendants,5
Cai Yang,Cai Yang,5
Cai Mao,Cai Mao,5
Jiang Gan,Jiang Gan,5
Emperor Ling,Emperor Ling,4
Huangfu Song,Huangfu Song,4
Yuan Shu,Yuan Shu,4
Sun Jian,Sun Jian,4
Cao Bao,Cao Bao,4
Hou Cheng,Hou Cheng,4
The master,The master,4
Zhang Zhao,Zhang Zhao,4
Jia Xu,Jia Xu,4
Qin Fu,Qin Fu,4
Ma Shouzhong,Ma Shouzhong,4
Yi Ji,Yi Ji,4
Liu Shan,Liu Shan,4
Duan Gui,Duan Gui,3
Li Su,Li Su,3
The soldier,The soldier,3
Che Zhou,Che Zhou,3
Wu Fan,Wu Fan,3
the troops of Wu,the troops of Wu,3
Mei Zhu,Mei Zhu,3
The young lady,The young lady,3
Jin Zu,Jin Zu,3
The schoolteacher,The schoolteacher,2
The envoy,The envoy,2
the farmer,the farmer,2
Wu Zilan,Wu Zilan,2
Zhang Ben,Zhang Ben,2
August Emperor,August Emperor,2
Liu Qi,Liu Qi,2
Little Qiao,Little Qiao,2
Zhao Fan,Zhao Fan,2
Ma Da,Ma Da,2
Yang Xiu,Yang Xiu,2
Yu Xu,Yu Xu,2
Meng Da,Meng Da,2
Guan Ping,Guan Ping,2
The Inspector General,The Inspector General,1
Li Ru,Li Ru,1
Yang Feng,Yang Feng,1
Xu You,Xu You,1
Gong Gu,Gong Gu,1
The acolyte,The acolyte,1
Consort Gan,Consort Gan,1
Zhuge Jin,Zhuge Jin,1
Zhang Sheng,Zhang Sheng,1
Hua Tuo,Hua Tuo,1
Chen Deng,Chen Deng,1
Wang Qiang,Wang Qiang,1
