Source,Target,weight
Emperor Xian,Cao Cao,6
Zhang Rang,He Jin,4
Zhang Bao,Zhu Jun,5
Zhang Bao,Liu Bei,5
Zhang Bao,Zhang Fei,5
Zhang Bao,First Ruler,6
Zhang Bao,Guan Xing,18
Zhang Bao,Li Yi,4
Zhang Bao,Sun Huan,4
Zhang Bao,Huang Zhong,4
He Jin,Cao Cao,6
He Jin,Yuan Shao,5
He Jin,Zhang Rang,4
Zhu Jun,Huangfu Song,7
Zhu Jun,Zhang Bao,5
Zhu Jun,Liu Bei,12
Zhu Jun,Sun Jian,4
Zhu Jun,Guo Si,4
Zhu Jun,Yang Biao,4
Lu Zhi,Huangfu Song,4
Lu Zhi,Liu Bei,6
Huangfu Song,Zhu Jun,7
Huangfu Song,Lu Zhi,4
Huangfu Song,Liu Bei,4
Zhou Jing,Liu Bei,4
Imperial Protector,Liu Bei,45
Imperial Protector,Zhang Fei,4
Imperial Protector,Guan Yu,4
Imperial Protector,Dong Zhuo,5
Imperial Protector,Sun Jian,5
Imperial Protector,Han Fu,5
Imperial Protector,Liu Dai,5
Imperial Protector,Tao Qian,8
Imperial Protector,Liu Biao,12
Imperial Protector,Yuan Shao,7
Imperial Protector,Yuan Shu,4
Imperial Protector,Cao Cao,21
Imperial Protector,Mi Zhu,5
Imperial Protector,Liu Yao,5
Imperial Protector,Lu Bu,4
Imperial Protector,Sun Quan,4
Imperial Protector,Zhang Lu,4
Imperial Protector,Zhuge Liang,5
Imperial Protector,Liu Qi,4
Imperial Protector,Liu Zhang,16
Imperial Protector,Zhang Song,4
Imperial Protector,Huang Quan,7
Imperial Protector,Fa Zheng,4
Liu Bei,Gongsun Zan,14
Liu Bei,Lu Zhi,6
Liu Bei,Zhang Fei,111
Liu Bei,Guan Yu,124
Liu Bei,Zhou Jing,4
Liu Bei,Imperial Protector,45
Liu Bei,Cheng Yu,9
Liu Bei,Zhu Jun,12
Liu Bei,Zhang Bao,5
Liu Bei,Huangfu Song,4
Liu Bei,Dong Zhuo,5
Liu Bei,Cao Cao,195
Liu Bei,Sun Jian,4
Liu Bei,Yuan Shao,46
Liu Bei,Lu Bu,74
