character,count
Cao Cao,2050
Liu Bei,1491
Guan Yu,750
Zhuge Liang,611
Lu Bu,437
Zhang Fei,431
Zhou Yu,420
Sun Quan,410
Yuan Shao,344
Zhao Yun,288
Dong Zhuo,226
Lu Su,220
Prime Minister,217
Ma Chao,210
Sun Ce,172
Liu Biao,165
Huang Zhong,163
Zhang Liao,145
Imperial Protector,132
Cao Ren,130
South Land,128
Yuan Shu,121
Xu Huang,119
Zhang He,119
Xiahou Dun,115
Pang Tong,106
First Ruler,105
Xu Chu,104
Yu Ji,102
Pang De,99
Cao Hong,98
Lu Meng,97
Liu Zhang,95
Li Jue,92
Sun Jian,90
Gan Ning,90
Wei Yan,86
Chen Gong,85
Wang Yun,83
Xiahou Yuan,83
Sun Qian,83
Dong Cheng,83
Huang Gai,81
Yu Jin,81
Guo Si,78
Lu Xun,74
Jia Xu,73
Guan Ping,72
Li Dian,71
Cai Mao,70
Cao Pi,68
Xun Yu,66
Zhang Zhao,66
Gongsun Zan,64
Zhang Lu,61
Yuan Shang,59
Cheng Pu,58
Mi Zhu,58
Taishi Ci,57
Han Sui,55
Yuan Tan,54
Zhang Song,54
Kong Rong,53
Chen Deng,53
Liu Feng,52
Ma Teng,51
Zhou Tai,51
Han Dang,50
Fa Zheng,49
Cheng Yu,48
Li Ru,48
Dian Wei,48
Shen Pei,48
Meng Da,48
Yan Yan,48
Zhang Bao,47
Zhang Xiu,47
Guo Jia,45
He Jin,44
Huang Zu,44
Xu Shu,44
Yue Jin,42
Tao Qian,42
Zhuge Jin,42
Guan Xing,42
Liu Qi,40
Jiang Gan,40
Yang Feng,39
Yang Xiu,39
Kan Ze,38
Hua Xin,36
Xun You,35
Wen Chou,35
Xu Sheng,35
Ling Tong,35
Li Su,34
Xu You,34
Guo Tu,33
Zhang Yi,32
Liao Hua,32
Tian Feng,31
Mi Heng,31
Zhang Ren,31
Guan Lu,31
Jian Yong,30
Lady Sun,30
Huang Quan,30
Gao Shun,29
Ma Dai,29
Ding Feng,28
Zhang Ji,27
Ma Liang,27
Zhu Jun,26
Jiang Qi,26
Diao Chan,25
Ji Ping,25
Yi Ji,25
Man Chong,24
Cao Xi,24
Ji Ling,24
Cao Zhi,24
Liu Ye,23
Lu Fan,23
Hua Tuo,23
Zhou Cang,23
Liu Zong,22
Wen Ping,22
Yang Fu,22
Yang Song,22
Fu Shiren,22
Zhang Jue,21
Liu Xian,21
Xin Pi,20
Yang Biao,19
Ju Shou,19
Wang Zifu,19
Gao Lan,19
Sun Huan,19
Ding Yuan,18
Fan Chou,18
Liu Dai,18
Han Xian,18
Yuan Xi,18
Emperor Xian,17
Peng Ji,17
Lady Gan,17
Wang Lang,17
Chen Zhen,17
San Fu,17
Xiahou Shang,17
Zhu Ran,17
Wu Ban,17
Liu Yao,16
Wei Xu,16
Zhang Hong,16
Ling Bao,16
Liu Gui,16
Cao Zhang,16
Lu Zhi,15
His Majesty,15
Empress He,15
Han Fu,15
Song Xian,15
Liu Pi,15
Zhang Nan,15
Feng Xi,15
Kuai Yue,14
Yu Fan,14
Wang Zhong,14
Patriarch Qiao,14
Zhao Fan,14
Cai Yong,13
Hou Cheng,13
Dong Xi,13
Che Zhou,13
Cao Xiu,13
Jin Yi,13
Zhang Rang,12
Yang Qi,12
Chen Gui,12
Fu Wan,12
Gong Du,12
Sima Yi,12
Zhou Shan,12
Wu Yi,12
Ma Zhong,12
Empress Dong,11
Lady Wu,11
Kuai Liang,11
Cao Bao,11
Lady Mi,11
Gu Yong,11
Lu Xiang,11
Lady Cai,11
Han Hao,11
Geng Ji,11
Wei Huang,11
Wang Fu,11
Huangfu Song,10
Li Yue,10
Han Yin,10
Cai He,10
Chen Ying,10
Huang Kui,10
Li Hui,10
Xin Ping,9
Li Yi,9
Huangfu Li,9
Dong Zhao,9
Yan Baihu,9
Hu Ban,9
Ma Yan,9
Zhuge Jun,9
Han Xuan,9
Niu Jin,9
Xing Darong,9
Zhong Yao,9
Zhang Wei,9
Wang Ping,9
Ruler of Wei,9
Latter Ruler,9
Noble Sir,8
Liu Tao,8
Bao Xin,8
Li Meng,8
Wang Fang,8
Gongsun Kang,8
Lady Xu,8
Jiang Xu,8
Xu Jing,8
Yan Ren,8
Yang Ang,8
Fei Shi,8
Zhao Lei,8
Fu Tong,8
Jian Shuo,7
Sun Zi,7
Lu Boshe,7
Li Feng,7
Yang Hu,7
Wang Wei,7
Wei Kang,7
Dong He,7
Cheng Ji,7
Zhou Jing,6
