Id,Label,weight
Cao Cao,Cao Cao,1057
Liu Bei,Liu Bei,736
Lu Bu,Lu Bu,429
Guan Yu,Guan Yu,396
Yuan Shao,Yuan Shao,328
Dong Zhuo,Dong Zhuo,222
Zhang Fei,Zhang Fei,186
Sun Ce,Sun Ce,161
Liu Biao,Liu Biao,127
Prime Minister,Prime Minister,126
Yuan Shu,Yuan Shu,117
Zhang Liao,Zhang Liao,94
Li Jue,Li Jue,91
Sun Jian,Sun Jian,88
Chen Gong,Chen Gong,85
Wang Yun,Wang Yun,83
Imperial Protector,Imperial Protector,78
Guo Si,Guo Si,77
Dong Cheng,Dong Cheng,77
Xiahou Dun,Xiahou Dun,67
Gongsun Zan,Gongsun Zan,64
Sun Qian,Sun Qian,59
Yuan Shang,Yuan Shang,59
Yuan Tan,Yuan Tan,54
Xun Yu,Xun Yu,52
Yu Ji,Yu Ji,52
Chen Deng,Chen Deng,52
Zhao Yun,Zhao Yun,50
Li Ru,Li Ru,48
Shen Pei,Shen Pei,48
Dian Wei,Dian Wei,47
Xu Chu,Xu Chu,46
Kong Rong,Kong Rong,45
Zhang Xiu,Zhang Xiu,45
He Jin,He Jin,44
Li Dian,Li Dian,44
Cao Ren,Cao Ren,44
Jia Xu,Jia Xu,43
Guo Jia,Guo Jia,43
Xu Huang,Xu Huang,43
Tao Qian,Tao Qian,42
Cai Mao,Cai Mao,42
Taishi Ci,Taishi Ci,42
Yang Feng,Yang Feng,39
Mi Zhu,Mi Zhu,38
Cheng Yu,Cheng Yu,35
Li Su,Li Su,34
Xu You,Xu You,34
Guo Tu,Guo Tu,33
Wen Chou,Wen Chou,32
Tian Feng,Tian Feng,31
Yu Jin,Yu Jin,31
Cao Hong,Cao Hong,29
Gao Shun,Gao Shun,29
Sun Quan,Sun Quan,28
Mi Heng,Mi Heng,28
Yue Jin,Yue Jin,27
Ma Teng,Ma Teng,27
Zhu Jun,Zhu Jun,26
Xu Shu,Xu Shu,26
Xun You,Xun You,25
Zhang Ji,Zhang Ji,25
Diao Chan,Diao Chan,25
Huang Zu,Huang Zu,24
Ji Ling,Ji Ling,24
Zhuge Liang,Zhuge Liang,23
Ji Ping,Ji Ping,23
Zhang Jue,Zhang Jue,21
Cheng Pu,Cheng Pu,20
Xiahou Yuan,Xiahou Yuan,19
Xin Pi,Xin Pi,19
Ju Shou,Ju Shou,19
Zhou Yu,Zhou Yu,19
Wang Zifu,Wang Zifu,19
Gao Lan,Gao Lan,19
Ding Yuan,Ding Yuan,18
Fan Chou,Fan Chou,18
Yang Biao,Yang Biao,18
Liu Dai,Liu Dai,18
Han Xian,Han Xian,18
Yuan Xi,Yuan Xi,18
Peng Ji,Peng Ji,17
Zhang He,Zhang He,17
San Fu,San Fu,17
Liu Yao,Liu Yao,16
Wei Xu,Wei Xu,16
Lu Zhi,Lu Zhi,15
Empress He,Empress He,15
Han Fu,Han Fu,15
Huang Gai,Huang Gai,15
Song Xian,Song Xian,15
Liu Pi,Liu Pi,15
Zhang Zhao,Zhang Zhao,14
Wang Zhong,Wang Zhong,14
Hou Cheng,Hou Cheng,13
Jian Yong,Jian Yong,13
Che Zhou,Che Zhou,13
Zhou Cang,Zhou Cang,13
Zhang Rang,Zhang Rang,12
South Land,South Land,12
Chen Gui,Chen Gui,12
Gong Du,Gong Du,12
Empress Dong,Empress Dong,11
Kuai Liang,Kuai Liang,11
Man Chong,Man Chong,11
Cao Bao,Cao Bao,11
Zhang Hong,Zhang Hong,11
Zhang Yi,Zhang Yi,11
Lu Xiang,Lu Xiang,11
Zhang Bao,Zhang Bao,10
Huangfu Song,Huangfu Song,10
Kuai Yue,Kuai Yue,10
Han Sui,Han Sui,10
Liu Ye,Liu Ye,10
Li Yue,Li Yue,10
Lady Gan,Lady Gan,10
Wang Lang,Wang Lang,10
Han Yin,Han Yin,10
Chen Zhen,Chen Zhen,10
Cai Yong,Cai Yong,9
His Majesty,His Majesty,9
Han Dang,Han Dang,9
Xin Ping,Xin Ping,9
Huangfu Li,Huangfu Li,9
Yan Baihu,Yan Baihu,9
Liu Tao,Liu Tao,8
Liu Xian,Liu Xian,8
Bao Xin,Bao Xin,8
Li Meng,Li Meng,8
Wang Fang,Wang Fang,8
Liao Hua,Liao Hua,8
Hu Ban,Hu Ban,8
Gongsun Kang,Gongsun Kang,8
Emperor Xian,Emperor Xian,7
Jian Shuo,Jian Shuo,7
Lu Boshe,Lu Boshe,7
Li Feng,Li Feng,7
Jiang Qi,Jiang Qi,7
Lu Su,Lu Su,7
Yi Ji,Yi Ji,7
Zhou Jing,Zhou Jing,6
Wang Kuang,Wang Kuang,6
Zhang Ying,Zhang Ying,6
Yang Dajiang,Yang Dajiang,6
Wang Zhi,Wang Zhi,6
Cao Pi,Cao Pi,6
Tian Chou,Tian Chou,6
Lady Cai,Lady Cai,6
Cui Zhouping,Cui Zhouping,6
Lady Wu,Lady Wu,5
Prince Xian,Prince Xian,5
Xue Lan,Xue Lan,5
Cao Xi,Cao Xi,5
Lady Qiong,Lady Qiong,5
Dong Zhao,Dong Zhao,5
Yu Fan,Yu Fan,5
Xu Si,Xu Si,5
Han Song,Han Song,5
Quin Quington,Quin Quington,5
Kong Xiu,Kong Xiu,5
Guan Ping,Guan Ping,5
Wang Xiu,Wang Xiu,5
Ma Yan,Ma Yan,5
Zhuge Jun,Zhuge Jun,5
Noble Sir,Noble Sir,4
Min Gong,Min Gong,4
Zu Mao,Zu Mao,4
Sun Jing,Sun Jing,4
Huan Jie,Huan Jie,4
Yang Feng and Han Xian,Yang Feng and Han Xian,4
Zhu Zhi,Zhu Zhi,4
Lu Fan,Lu Fan,4
Zhou Xin,Zhou Xin,4
Cao Amin,Cao Amin,4
Wu Shi,Wu Shi,4
Guan Ding,Guan Ding,4
Lady Xu,Lady Xu,4
Lady Xun,Lady Xun,4
Zhou Bi,Zhou Bi,3
Wei Hong,Wei Hong,3
Geng Wu,Geng Wu,3
Ma Chao,Ma Chao,3
Yang Qi,Yang Qi,3
Han Rong,Han Rong,3
Lady Mi,Lady Mi,3
Yan Yu,Yan Yu,3
Zhang Lu,Zhang Lu,3
Liu An,Liu An,3
Du Yu,Du Yu,3
Meng Tan,Meng Tan,3
Lady Liu,Lady Liu,3
Liu Qi,Liu Qi,3
Xu Shao,Xu Shao,2
Pan Yin,Pan Yin,2
Wu Kuang,Wu Kuang,2
Wu Qiong,Wu Qiong,2
Ma Midi,Ma Midi,2
Hu Chier,Hu Chier,2
Zhiguan Hills,Zhiguan Hills,2
Zhou Tai,Zhou Tai,2
Hua Tuo,Hua Tuo,2
Liu Zhang,Liu Zhang,2
Fu Wan,Fu Wan,2
Pang Tong,Pang Tong,2
Guan Zhong,Guan Zhong,2
Ma Yuanyi,Ma Yuanyi,1
Xun Chang,Xun Chang,1
Zhang Hu,Zhang Hu,1
Zhang Wen,Zhang Wen,1
Li Yi,Li Yi,1
Li Ying,Li Ying,1
Chen Wei,Chen Wei,1
Lady Kai,Lady Kai,1
Cui Yong,Cui Yong,1
Lu Kang,Lu Kang,1
Chen Heng,Chen Heng,1
Dong Xi,Dong Xi,1
Yan Xiang,Yan Xiang,1
Ma Rong,Ma Rong,1
Guan Ning,Guan Ning,1
Zhuge Jin,Zhuge Jin,1
Li Fu,Li Fu,1
Cui Yan,Cui Yan,1
Zhang Nan,Zhang Nan,1
Wuhuan Chu,Wuhuan Chu,1
Ce Xian,Ce Xian,1
Cao Zhi,Cao Zhi,1
Liu Biao's wife,Liu Biao's wife,1
Wang Wei,Wang Wei,1
Wen Ping,Wen Ping,1
Pang De,Pang De,1
Liu Mi,Liu Mi,1
"Guan Yu to his left, Zhang Fei to his right. Flourishing his whip, Liu Bei","Guan Yu to his left, Zhang Fei to his right. Flourishing his whip, Liu Bei",0
Sun Zi,Sun Zi,0
Empress Dowager,Empress Dowager,0
Minister Zheng Tai,Minister Zheng Tai,0
Sun Shao,Sun Shao,0
she. “,she. “,0
Wang Qi,Wang Qi,0
Hu Miao,Hu Miao,0
Li Bie,Li Bie,0
Yan Baihu the White Tiger,Yan Baihu the White Tiger,0
Wang Lian,Wang Lian,0
Yang Hu,Yang Hu,0
Yang Xiu,Yang Xiu,0
"withdrew sadly, saying. “","withdrew sadly, saying. “",0
Hua Xin,Hua Xin,0
Liu Xun,Liu Xun,0
Lady Qiao,Lady Qiao,0
Gu Yong,Gu Yong,0
"Cao Cao called him out and chided him, but the wife","Cao Cao called him out and chided him, but the wife",0
Gongsun Gong,Gongsun Gong,0
Liu Zong,Liu Zong,0
bye Cai Mao,bye Cai Mao,0
Cai He,Cai He,0
Liu Feng,Liu Feng,0
Zhuge Xu,Zhuge Xu,0
