Id,Label,weight
Cao Cao,Cao Cao,2069
Liu Bei,Liu Bei,1497
Zhuge Liang,Zhuge Liang,1321
Guan Yu,Guan Yu,755
Sun Quan,Sun Quan,475
Lu Bu,Lu Bu,439
Zhang Fei,Zhang Fei,435
Sima Yi,Sima Yi,422
Zhou Yu,Zhou Yu,420
Zhao Yun,Zhao Yun,392
Jiang Wei,Jiang Wei,378
Prime Minister,Prime Minister,351
Yuan Shao,Yuan Shao,346
Wei Yan,Wei Yan,279
Dong Zhuo,Dong Zhuo,229
Lu Su,Lu Su,220
Ma Chao,Ma Chao,215
Deng Ai,Deng Ai,213
Zhang He,Zhang He,187
Sun Ce,Sun Ce,176
Liu Biao,Liu Biao,167
Huang Zhong,Huang Zhong,164
Imperial Protector,Imperial Protector,152
Sima Zhao,Sima Zhao,151
Zhang Liao,Zhang Liao,149
South Land,South Land,139
Latter Ruler,Latter Ruler,135
First Ruler,First Ruler,133
Cao Ren,Cao Ren,131
Xu Huang,Xu Huang,129
Yuan Shu,Yuan Shu,122
Meng Huo,Meng Huo,121
Cao Zhen,Cao Zhen,120
Ruler of Wei,Ruler of Wei,118
Xiahou Dun,Xiahou Dun,116
Lu Xun,Lu Xun,114
Zhong Hui,Zhong Hui,113
Xu Chu,Xu Chu,107
Ma Dai,Ma Dai,107
Pang Tong,Pang Tong,106
Guan Xing,Guan Xing,106
Yu Ji,Yu Ji,102
Cao Pi,Cao Pi,100
Pang De,Pang De,99
Lu Meng,Lu Meng,99
Cao Hong,Cao Hong,98
Zhang Yi,Zhang Yi,98
Liu Zhang,Liu Zhang,97
Li Jue,Li Jue,95
Sun Jian,Sun Jian,93
Gan Ning,Gan Ning,90
Zhang Bao,Zhang Bao,89
Xiahou Yuan,Xiahou Yuan,89
Wang Ping,Wang Ping,89
Guo Huai,Guo Huai,88
Chen Gong,Chen Gong,85
Sun Qian,Sun Qian,85
Dong Cheng,Dong Cheng,85
Wang Yun,Wang Yun,84
Guo Si,Guo Si,81
Huang Gai,Huang Gai,81
Yu Jin,Yu Jin,81
Meng Da,Meng Da,80
Sima Shi,Sima Shi,78
Zhang Zhao,Zhang Zhao,76
Jia Xu,Jia Xu,74
Guan Ping,Guan Ping,72
Li Dian,Li Dian,71
Cao Xi,Cao Xi,71
Liao Hua,Liao Hua,71
Cai Mao,Cai Mao,70
Xun Yu,Xun Yu,66
Cao Shuang,Cao Shuang,66
Gongsun Zan,Gongsun Zan,65
Zhang Lu,Zhang Lu,63
Cao Rui,Cao Rui,63
Yuan Shang,Yuan Shang,60
Cheng Pu,Cheng Pu,58
Mi Zhu,Mi Zhu,58
Taishi Ci,Taishi Ci,57
Zhuge Jin,Zhuge Jin,57
Han Sui,Han Sui,56
Yang Yi,Yang Yi,56
Xiahou Ba,Xiahou Ba,56
Zhou Tai,Zhou Tai,54
Yuan Tan,Yuan Tan,54
Zhang Song,Zhang Song,54
Kong Rong,Kong Rong,53
Chen Deng,Chen Deng,53
Ma Su,Ma Su,53
Cao Xiu,Cao Xiu,53
Ma Teng,Ma Teng,52
Liu Feng,Liu Feng,52
Xu Sheng,Xu Sheng,51
Han Dang,Han Dang,50
Zhang Xiu,Zhang Xiu,50
Xiahou Mao,Xiahou Mao,50
Cheng Yu,Cheng Yu,49
Fa Zheng,Fa Zheng,49
Yan Yan,Yan Yan,49
Li Ru,Li Ru,48
Dian Wei,Dian Wei,48
Shen Pei,Shen Pei,48
Ding Feng,Ding Feng,48
Yang Feng,Yang Feng,47
He Jin,He Jin,45
Guo Jia,Guo Jia,45
Deng Zhi,Deng Zhi,45
Yue Jin,Yue Jin,44
Huang Zu,Huang Zu,44
Xu Shu,Xu Shu,44
Zhang Ni,Zhang Ni,44
Tao Qian,Tao Qian,43
Hua Xin,Hua Xin,41
Jia Chong,Jia Chong,41
Liu Qi,Liu Qi,40
Jiang Gan,Jiang Gan,40
Fei Yi,Fei Yi,40
Yang Xiu,Yang Xiu,39
Sun Li,Sun Li,39
Kan Ze,Kan Ze,38
Guan Lu,Guan Lu,38
Ma Zhong,Ma Zhong,38
Zhuge Ke,Zhuge Ke,37
Wang Ji,Wang Ji,36
Xun You,Xun You,35
Wen Chou,Wen Chou,35
Ling Tong,Ling Tong,35
Chen Tai,Chen Tai,35
Li Su,Li Su,34
Xu You,Xu You,34
Wang Lang,Wang Lang,34
Zhuge Dan,Zhuge Dan,34
Guo Tu,Guo Tu,33
Yang Hu,Yang Hu,33
Sun Chen,Sun Chen,33
Liu Ye,Liu Ye,32
Zhang Ji,Zhang Ji,31
Tian Feng,Tian Feng,31
Mi Heng,Mi Heng,31
Zhang Ren,Zhang Ren,31
Man Chong,Man Chong,30
Jian Yong,Jian Yong,30
Lady Sun,Lady Sun,30
Huang Quan,Huang Quan,30
Gao Ding,Gao Ding,30
Gao Shun,Gao Shun,29
Ma Liang,Ma Liang,29
Wu Ban,Wu Ban,29
Sun Hao,Sun Hao,29
Huang Hao,Huang Hao,28
His Majesty,His Majesty,27
Sima Yan,Sima Yan,27
Zhu Jun,Zhu Jun,26
Xin Pi,Xin Pi,26
