Id,Label,weight
Liu Bei,Liu Bei,677
Cao Cao,Cao Cao,478
Zhuge Liang,Zhuge Liang,393
Zhang Fei,Zhang Fei,321
Ma Chao,Ma Chao,216
Xu Shu,Xu Shu,136
Guan Yu,Guan Yu,123
Zhao Yun,Zhao Yun,111
The emperor,The emperor,92
Lü Bu,Lü Bu,112
Zhou Yu,Zhou Yu,68
Sima Yi,Sima Yi,66
Dong Zhuo,Dong Zhuo,55
Xiahou Dun,Xiahou Dun,47
Sun Quan,Sun Quan,31
Lu Su,Lu Su,31
Pang Tong,Pang Tong,29
Huang Zhong,Huang Zhong,28
the Prince of Ji,the Prince of Ji,27
the prefect,the prefect,26
Sima Zhongxiang,Sima Zhongxiang,25
Zhang Bao,Zhang Bao,22
Liu Zhang,Liu Zhang,20
Wei Yan,Wei Yan,20
Emperor Xian,Emperor Xian,19
Yuan Shao,Yuan Shao,19
the Prince of Jing,the Prince of Jing,18
Jiang Wei,Jiang Wei,18
Liu Shan,Liu Shan,16
The grand marshal,The grand marshal,14
Zhang Liao,Zhang Liao,14
Zhang Biao,Zhang Biao,13
The Prince of Ji,The Prince of Ji,12
Dong Cheng,Dong Cheng,10
Chen Gong,Chen Gong,10
Huang Gai,Huang Gai,10
the young lady,the young lady,10
Zhang Song,Zhang Song,10
The eight men,The eight men,9
Wang Yun,Wang Yun,9
Liu Feng,Liu Feng,9
Downriver Wu,Downriver Wu,9
Zhang Jue,Zhang Jue,8
Zhang Yi,Zhang Yi,8
Liu Biao,Liu Biao,8
Ji Ping,Ji Ping,8
Zhang Lu,Zhang Lu,8
Yan Yan,Yan Yan,8
Yi Ji,Yi Ji,8
the Prince of Yan,the Prince of Yan,7
We have,We have,7
Imperial Father,Imperial Father,7
Ma Teng,Ma Teng,7
Kuai Yue,Kuai Yue,7
Liu Cong,Liu Cong,7
Lü Meng,Lü Meng,7
Meng Huo,Meng Huo,7
Jian Xianhe,Jian Xianhe,6
Ten Constant Attendants,Ten Constant Attendants,6
Ji Ling,Ji Ling,6
Wen Chou,Wen Chou,6
Emperor Ling,Emperor Ling,5
the prince,the prince,5
The Prince of Yan,The Prince of Yan,5
Cai Yang,Cai Yang,5
Cai Mao,Cai Mao,5
Jiang Gan,Jiang Gan,5
Meng Da,Meng Da,5
Guan Ping,Guan Ping,5
The king,The king,5
Yang Yi,Yang Yi,5
Huangfu Song,Huangfu Song,4
Yuan Shu,Yuan Shu,4
Sun Jian,Sun Jian,4
Cao Bao,Cao Bao,4
Hou Cheng,Hou Cheng,4
The master,The master,4
Zhang Zhao,Zhang Zhao,4
Jia Xu,Jia Xu,4
Qin Fu,Qin Fu,4
Ma Shouzhong,Ma Shouzhong,4
Lü Kai,Lü Kai,4
Zhang He,Zhang He,4
Duan Gui,Duan Gui,3
Li Su,Li Su,3
The soldier,The soldier,3
August Emperor,August Emperor,3
Che Zhou,Che Zhou,3
Wu Fan,Wu Fan,3
the troops of Wu,the troops of Wu,3
Mei Zhu,Mei Zhu,3
The young lady,The young lady,3
Jin Zu,Jin Zu,3
Liu Yuan,Liu Yuan,3
The schoolteacher,The schoolteacher,2
The envoy,The envoy,2
the farmer,the farmer,2
Wu Zilan,Wu Zilan,2
Zhang Ben,Zhang Ben,2
Liu Qi,Liu Qi,2
Little Qiao,Little Qiao,2
Zhao Fan,Zhao Fan,2
Ma Da,Ma Da,2
Yang Xiu,Yang Xiu,2
Zhang Sheng,Zhang Sheng,2
Yu Xu,Yu Xu,2
Xiong Kai,Xiong Kai,2
Zhou Cang,Zhou Cang,2
The woman,The woman,1
The Inspector General,The Inspector General,1
Li Ru,Li Ru,1
Yang Feng,Yang Feng,1
A messenger,A messenger,1
Xu You,Xu You,1
Gong Gu,Gong Gu,1
The acolyte,The acolyte,1
Consort Gan,Consort Gan,1
Zhuge Jin,Zhuge Jin,1
Wang Ping,Wang Ping,1
Hua Tuo,Hua Tuo,1
Sun Liang,Sun Liang,1
Chen Deng,Chen Deng,1
Wang Qiang,Wang Qiang,1
Huang Hao,Huang Hao,1
Emperor Wu,Emperor Wu,1
